system,mean_latency_sec,aucpr
Tier 1 alone,0.00032973852987197463,0.7774959176127932
Tier 2 alone,0.001265169805046753,0.8537016407798355
Cascade (0.45-0.55),2.93993127195339e-05,0.7777079980897941
Cascade (0.35-0.65),3.8915871497676395e-05,0.7787176431248686
Cascade (0.25-0.75),5.3194168116370596e-05,0.7779083053945818
Cascade (0.15-0.85),7.979562553815105e-05,0.7773814437998314
Cascade (0.05-0.95),0.00018601206134739555,0.7784653334424948
